,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
0,1,Bitcoin,BTC,bitcoin,10846,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",21000000.0,19644331.0,19644331.0,False,,1,,,,2024-03-04T11:48:00.000Z,65061.89322400439,44596353231.34461,108.3544,0.11220249,5.25238438,27.35518777,51.36286063,50.48525097,56.20134104,1278097365978.9993,52.6592,1366299757704.09,,2024-03-04T11:48:00.000Z,,,,,,2024-03-04 18:48:36.982086
1,1027,Ethereum,ETH,ethereum,8494,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'layer-1', 'ftx-bankruptcy-estate']",,120133136.73445426,120133136.73445426,True,,2,,,,2024-03-04T11:48:00.000Z,3506.527656406158,18268343801.707817,57.5036,0.31598628,2.79966293,14.7813697,52.18444959,57.27897009,59.35028425,421250166410.1864,17.356,421250166410.19,,2024-03-04T11:48:00.000Z,,,,,,2024-03-04 18:48:36.982086
2,825,Tether USDt,USDT,tether,76750,2015-02-25T00:00:00.000Z,"['payments', 'stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,99515227360.76811,102800078701.88501,True,,3,,,,2024-03-04T11:47:00.000Z,1.0007101544092416,88527988839.87976,33.2865,-0.02050358,0.02546213,0.07149757,0.0867553,-0.03908321,0.0579851,99585898538.26505,4.1031,102873082631.05,,2024-03-04T11:47:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2024-03-04 18:48:36.982086
3,1839,BNB,BNB,bnb,2081,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,149541636.83823958,149541636.83823958,False,,4,,,,2024-03-04T11:47:00.000Z,418.3931766302635,1812957952.9926069,9.7826,-0.1880645,1.49506724,6.97223821,38.69867603,31.27767675,82.32370834,62567200475.24029,2.5778,62567200475.24,,2024-03-04T11:47:00.000Z,,,,,,2024-03-04 18:48:36.982086
4,5426,Solana,SOL,solana,630,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okex-blockdream-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities']",,442942585.16358805,571043642.9980211,True,,5,,,,2024-03-04T11:48:00.000Z,132.19540294477676,3266452214.491807,16.9045,0.46864295,2.27871779,31.02752466,34.09850769,34.39947777,119.99835201,58554973527.101616,2.4125,75489344485.18,,2024-03-04T11:48:00.000Z,,,,,,2024-03-04 18:48:36.982086
5,52,XRP,XRP,xrp,1237,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate']",100000000000.0,54664031281.0,99987852435.0,False,,6,,,,2024-03-04T11:48:00.000Z,0.6625401045360997,2625435151.4112296,9.4136,3.02693959,6.43396207,24.37987675,26.2360398,14.79838295,8.55375033,36217112999.278366,1.4921,66254010453.61,,2024-03-04T11:48:00.000Z,,,,,,2024-03-04 18:48:36.982086
6,3408,USDC,USDC,usd-coin,17008,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'hedera-hashgraph-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,28930539309.145973,28930539309.145973,False,,7,,,,2024-03-04T11:48:00.000Z,1.0000307565659574,7417477101.730169,40.8261,-0.05293802,0.00430095,-0.0045128,-0.02045615,-0.01709396,0.0041426,28931429113.186417,1.192,28931429113.19,,2024-03-04T11:48:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2024-03-04 18:48:36.982086
7,2010,Cardano,ADA,cardano,1086,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'sec-security-token', 'alleged-sec-securities']",45000000000.0,35485427964.833,36671429496.447,False,,8,,,,2024-03-04T11:47:00.000Z,0.7837511436350059,1320744106.0576396,37.0461,0.4857612,7.98637587,35.33810798,49.98434998,40.33143511,96.65047539,27811744749.815483,1.1457,35268801463.58,,2024-03-04T11:47:00.000Z,,,,,,2024-03-04 18:48:36.982086
8,74,Dogecoin,DOGE,dogecoin,901,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain', 'ftx-bankruptcy-estate']",,143326206383.70523,143326206383.70523,True,,9,,,,2024-03-04T11:48:00.000Z,0.16214679539848195,5116452143.2420225,82.003,-0.04319587,17.29642036,91.82358004,105.41993141,96.20393342,83.26864525,23239885061.73925,0.9575,23239885061.74,,2024-03-04T11:48:00.000Z,,,,,,2024-03-04 18:48:36.982086
9,5805,Avalanche,AVAX,avalanche,674,2020-07-13T00:00:00.000Z,"['defi', 'smart-contracts', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'avalanche-ecosystem', 'cms-holdings-portfolio', 'dragonfly-capital-portfolio', 'moonriver-ecosystem', 'injective-ecosystem', 'real-world-assets', 'layer-1']",720000000.0,377252601.6085633,435942241.6085633,False,,10,,,,2024-03-04T11:47:00.000Z,43.634884605322604,573578848.6743184,-21.0079,0.99557598,2.27246278,19.15530101,22.25573623,17.89748042,98.80530922,16461373738.2474,0.6781,31417116915.83,,2024-03-04T11:47:00.000Z,,,,,,2024-03-04 18:48:36.982086
